,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Spain,Spain,GPE,0.09634383,0.64792229,en,100.40000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
US,US,GPE,0.09508532,0.73459137,en,16.50000000,,0,,,,,,
Madrid,Madrid,GPE,0.23024361,0.84201575,en,13.60000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Uruguay,Uruguay,GPE,-0.09226708,0.88740166,en,11.50000000,4062186-8,3439705,A,-33.00000000,-56.00000000,SOUTH-AMERICA,Uruguay,SES
the United States,the United States,GPE,0.08715361,0.67808428,en,10.40000000,,0,,,,,,
Brazil,Brazil,GPE,0.07124076,0.65790638,en,9.70000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Atlantic,Atlantic,LOC,0.33199118,0.70290650,en,8.80000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
Andalusia,Andalusia,GPE,0.10130208,0.89687500,en,8.00000000,4054671-8,2510911,P,37.38283000,-5.97317000,EUROPE-AFRICA,Spain,MED
Galicia,Galicia,GPE,0.21871404,0.73152250,en,7.90000000,4019119-9,3336902,A,42.75508000,-7.86621000,EUROPE-AFRICA,Spain,MED
Argentina,Argentina,GPE,0.00919613,0.50820006,en,7.20000000,4002890-2,3865483,A,-34.00000000,-64.00000000,SOUTH-AMERICA,Argentina,SES
Chile,Chile,GPE,0.00869666,0.48706710,en,7.00000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Mexico,Mexico,GPE,-0.05285714,0.68857143,en,7.00000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Colombia,Colombia,GPE,-0.07894737,0.43274854,en,5.70000000,4031812-6,3686110,A,4.00000000,-73.25000000,SOUTH-AMERICA,Colombia,NWS
California,California,GPE,-0.07720386,0.68669421,en,5.50000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Peninsula,Peninsula,LOC,0.20443791,0.90613276,en,5.30000000,,0,,,,,,
Patagonia,Patagonia,GPE,-0.00545550,0.51291214,en,5.30000000,,3841798,L,-44.00000000,-68.00000000,SOUTH-AMERICA,Argentina,SSA
Florida,Florida,GPE,-0.00721154,0.86939103,en,5.20000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Portugal,Portugal,GPE,-0.08096927,0.35697400,en,4.70000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
the Canary Islands,the Canary Islands,LOC,0.20185185,0.66833333,en,4.50000000,,2520308,T,28.00000000,-15.50000000,AFRICA,Spain,SAH
Valencia,Valencia,GPE,-0.04016913,0.22603946,en,4.30000000,4062284-8,3625549,P,10.16153000,-68.00044000,SOUTH-AMERICA,Venezuela,NSA
Granada,Granada,GPE,0.11317829,0.40310078,en,4.30000000,4021981-1,3580239,A,12.11667000,-61.66667000,CENTRAL-AMERICA,Grenada,CAR
Barcelona,Barcelona,GPE,0.06097561,0.21138211,en,4.10000000,4004503-1,3128760,P,41.38879000,2.15899000,EUROPE-AFRICA,Spain,MED
United States,United States,GPE,-0.09266098,0.84772727,en,4.00000000,,0,,,,,,
Cantabria,Cantabria,GPE,0.01776316,0.53969298,en,3.80000000,4118411-7,3109718,P,43.46589000,-3.80493000,EUROPE-AFRICA,Spain,MED
Europe,Europe,LOC,-0.26766234,0.68636364,en,3.50000000,,0,,,,,,
Arctic,Arctic,LOC,-0.37324416,1.14228220,en,3.20000000,,0,,,,,,
Córdoba,Córdoba,GPE,0.16801075,1.00456989,en,3.10000000,4213162-5,3860259,P,-31.40648000,-64.18853000,SOUTH-AMERICA,Argentina,SES
Earth,Earth,LOC,0.29950286,1.34971512,en,3.10000000,,0,,,,,,
Ingrid,Ingrid,GPE,-0.22020202,0.68525253,en,3.00000000,,6635439,T,-69.50000000,77.00000000,POLAR,Antarctica,EAN
Melilla,Melilla,GPE,0.13201970,0.94018883,en,2.90000000,4313276-5,2513947,P,35.29369000,-2.93833000,EUROPE-AFRICA,Spain,MED
Extremadura,Extremadura,GPE,0.20593870,1.01934866,en,2.90000000,4015589-4,2593112,A,39.16667000,-6.16667000,EUROPE-AFRICA,Spain,MED
Guatemala,Guatemala,GPE,-0.29629630,0.55709877,en,2.70000000,4022428-4,3595528,A,15.50000000,-90.25000000,CENTRAL-AMERICA,Guatemala,SCA
Asturias,Asturias,GPE,0.10493827,0.42386831,en,2.70000000,4003329-6,3129135,P,43.55473000,-5.92483000,EUROPE-AFRICA,Spain,MED
Ñuble,Ñuble,GPE,-0.05504115,0.41358025,en,2.70000000,,11979367,A,-36.62291000,-72.21643000,SOUTH-AMERICA,Chile,SWS
New York,New York,GPE,0.00490741,0.90820988,en,2.70000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
DALLAS,DALLAS,GPE,0.04679487,0.64423077,en,2.60000000,4085382-2,4684888,P,32.78306000,-96.80667000,NORTH-AMERICA,United States,CNA
Chilean Patagonia,Chilean Patagonia,GPE,0.00000000,0.07692308,en,2.60000000,,0,,,,,,
Buenos Aires,Buenos Aires,GPE,0.15821678,0.65238928,en,2.60000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
Cuba,Cuba,GPE,-0.06250000,0.29750000,en,2.50000000,4033340-1,3562981,A,22.00000000,-79.50000000,CENTRAL-AMERICA,Cuba,CAR
Venezuela,Venezuela,GPE,0.31666667,1.09666667,en,2.50000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
the Metropolitan Region,the Metropolitan Region,LOC,0.05555556,0.49305556,en,2.40000000,4122723-2,3871336,P,-33.45694000,-70.64827000,SOUTH-AMERICA,Chile,SWS
Zaragoza,Zaragoza,GPE,0.07031250,0.35416667,en,2.40000000,4079463-5,3104324,P,41.65606000,-0.87734000,EUROPE-AFRICA,Spain,MED
Mediterranean,Mediterranean,LOC,0.04347826,0.55797101,en,2.30000000,,0,,,,,,
the Panticosa Spa,the Panticosa Spa,LOC,-0.23333333,0.57246377,en,2.30000000,,0,,,,,,
Catalonia,Catalonia,GPE,0.15439723,0.51737484,en,2.30000000,4029916-8,3336901,X,41.82045900,1.86768000,EUROPE-AFRICA,Spain,MED
Adamuz,Adamuz,GPE,-0.15530303,1.05378788,en,2.20000000,1354498909,6357196,A,38.03511000,-4.52740000,EUROPE-AFRICA,Spain,MED
Seville,Seville,GPE,0.26420455,1.23484848,en,2.20000000,4054671-8,2510911,P,37.38283000,-5.97317000,EUROPE-AFRICA,Spain,MED
the Balearic Islands,the Balearic Islands,GPE,0.15811012,0.37180060,en,2.00000000,,10296424,S,39.88886000,4.26652000,EUROPE-AFRICA,Spain,MED
Alicante,Alicante,GPE,0.01250000,0.23333333,en,2.00000000,4079702-8,2521978,P,38.34517000,-0.48149000,EUROPE-AFRICA,Spain,MED
Milan,Milan,GPE,0.33750000,0.30833333,en,2.00000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Italy,Italy,GPE,0.41228070,0.54385965,en,1.90000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Ecuador,Ecuador,GPE,-0.07888091,0.63350611,en,1.90000000,4129321-6,3658394,A,-1.25000000,-78.25000000,SOUTH-AMERICA,Ecuador,NWS
the Puracé volcano,the Puracé volcano,LOC,-0.06578947,0.19736842,en,1.90000000,,0,,,,,,
San Juan,San Juan,GPE,-0.04166667,0.81944444,en,1.80000000,4105287-0,4568127,P,18.46633000,-66.10572000,CENTRAL-AMERICA,Puerto Rico,CAR
Ukraine,Ukraine,GPE,0.21373457,1.26543210,en,1.80000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
El Confidencial,El Confidencial,GPE,0.29411765,0.56862745,en,1.70000000,,0,,,,,,
Ávila,Ávila,GPE,-0.20588235,0.73529412,en,1.70000000,4079893-8,3564178,P,21.84220000,-78.76034000,CENTRAL-AMERICA,Cuba,CAR
The United States,The United States,GPE,0.01568627,0.19607843,en,1.70000000,,0,,,,,,
Japan,Japan,GPE,-0.18627451,1.03921569,en,1.70000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Norway,Norway,GPE,-0.21831597,0.43055556,en,1.60000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Northern California,Northern California,LOC,-0.05208333,0.45833333,en,1.60000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
New Jersey,New Jersey,GPE,0.23295455,1.02304293,en,1.60000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Latin America,Latin America,LOC,0.62500000,0.25000000,en,1.60000000,,0,,,,,,
SAN FRANCISCO,SAN FRANCISCO,GPE,0.04166667,0.56770833,en,1.60000000,4344631-0,3600949,P,14.08180000,-87.20681000,CENTRAL-AMERICA,Honduras,SCA
Paraguay,Paraguay,GPE,0.04101562,0.23437500,en,1.60000000,4044601-3,3437598,A,-23.33333000,-58.00000000,SOUTH-AMERICA,Paraguay,SES
Antarctica,Antarctica,LOC,-0.06250000,0.25000000,en,1.60000000,,0,,,,,,
Russia,Russia,GPE,0.23564815,1.18518519,en,1.50000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
China,China,GPE,0.04576720,0.46137566,en,1.50000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Punta del Este,Punta del Este,GPE,0.00000000,0.00000000,en,1.40000000,4516307-8,3440939,P,-34.94747000,-54.93382000,SOUTH-AMERICA,Uruguay,SES
Caracas,Caracas,GPE,0.37383117,1.06431818,en,1.40000000,4009457-1,3646738,P,10.48801000,-66.87919000,SOUTH-AMERICA,Venezuela,NSA
Albion,Albion,GPE,0.00000000,0.05128205,en,1.30000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Pontevedra,Pontevedra,LOC,-0.31730769,0.40064103,en,1.30000000,4227088-1,3113209,P,42.43100000,-8.64435000,EUROPE-AFRICA,Spain,MED
Palermo,Palermo,GPE,0.25384615,0.73589744,en,1.30000000,4044402-8,2523920,P,38.11660000,13.36360000,EUROPE-AFRICA,Italy,MED
Lisbon,Lisbon,GPE,0.17948718,0.20512821,en,1.30000000,4035919-0,2267057,P,38.72509000,-9.14980000,EUROPE-AFRICA,Portugal,MED
Rio Grande,Rio Grande,GPE,0.00000000,0.00000000,en,1.30000000,4076741-3,3451190,P,-22.90642000,-43.18223000,SOUTH-AMERICA,Brazil,SES
Maine,Maine,GPE,0.25174825,0.72762238,en,1.30000000,4114929-4,4971068,A,45.50032000,-69.24977000,NORTH-AMERICA,United States,ENA
San Nicolás,San Nicolás,GPE,0.14583333,0.37179487,en,1.30000000,5168325-8,3577089,P,12.43624000,-69.90713000,CENTRAL-AMERICA,Aruba,CAR
Los Domingos',Los Domingos',GPE,0.61538462,0.30769231,en,1.30000000,,3498653,H,18.80093000,-68.90191000,CENTRAL-AMERICA,Dominican Republic,CAR
America,America,GPE,0.30769231,0.58974359,en,1.30000000,,0,,,,,,
WASHINGTON,WASHINGTON,GPE,-0.10042735,0.58333333,en,1.30000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Ourense,Ourense,LOC,-0.26923077,0.61698718,en,1.30000000,4043764-4,3114965,P,42.33669000,-7.86407000,EUROPE-AFRICA,Spain,MED
Denmark,Denmark,GPE,-0.55769231,1.05769231,en,1.30000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Huesca,Huesca,GPE,-0.10512821,0.44871795,en,1.30000000,4089293-1,3120514,P,42.13615000,-0.40870000,EUROPE-AFRICA,Spain,MED
Buenos,Buenos,GPE,0.80769231,1.17307692,en,1.30000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
Peru,Peru,GPE,-0.07692308,0.38461538,en,1.30000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Aires,Aires,LOC,0.80769231,1.17307692,en,1.30000000,4008756-6,3435910,P,-34.61315000,-58.37723000,SOUTH-AMERICA,Argentina,SES
Murcia,Murcia,GPE,-0.03569347,0.61057692,en,1.30000000,4115291-8,2513416,P,37.98704000,-1.13004000,EUROPE-AFRICA,Spain,MED
San Lorenzo,San Lorenzo,GPE,0.76923077,0.76923077,en,1.30000000,4560038-7,3437056,P,-25.33968000,-57.50879000,SOUTH-AMERICA,Paraguay,SES
the Cantabrian Sea,the Cantabrian Sea,LOC,-0.04273504,0.04273504,en,1.30000000,,0,,,,,,
North Carolina,North Carolina,GPE,-0.15384615,0.15384615,en,1.30000000,4042551-4,4563243,P,18.38078000,-65.95739000,CENTRAL-AMERICA,Puerto Rico,CAR
