,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,25.700000000000028
winter,winter,DATE,,,en,22.900000000000006
2026,2026,DATE,,,en,20.30000000000002
one,one,CARDINAL,,,en,18.600000000000012
two,two,CARDINAL,,,en,17.400000000000013
today,today,DATE,,,en,16.700000000000014
Spanish,Spanish,NORP,,,en,15.500000000000012
Argentine,Argentine,NORP,,,en,14.400000000000015
Thursday,Thursday,DATE,,,en,14.200000000000001
Wednesday,Wednesday,DATE,,,en,13.600000000000005
Saturday,Saturday,DATE,,,en,13.0
Friday,Friday,DATE,,,en,10.400000000000006
this Tuesday,this Tuesday,DATE,,,en,10.4
2025,2025,DATE,,,en,10.3
this weekend,this weekend,DATE,,,en,10.199999999999998
three,three,CARDINAL,,,en,9.700000000000003
this Monday,this Monday,DATE,,,en,9.7
this Thursday,this Thursday,DATE,,,en,9.5
Brazilian,Brazilian,NORP,,,en,9.4
this week,this week,DATE,,,en,8.999999999999996
the weekend,the weekend,DATE,,,en,8.6
Sunday,Sunday,DATE,,,en,8.4
this Sunday,this Sunday,DATE,,,en,8.2
half,half,CARDINAL,,,en,7.8
February,February,DATE,,,en,7.699999999999999
years,years,DATE,,,en,7.699999999999998
second,second,ORDINAL,,,en,7.599999999999998
this Friday,this Friday,DATE,,,en,7.399999999999999
four,four,CARDINAL,,,en,7.299999999999999
Tuesday,Tuesday,DATE,,,en,7.1
the next few hours,the next few hours,TIME,,,en,7.000000000000001
a day,a day,DATE,,,en,7.0
this Wednesday,this Wednesday,DATE,,,en,6.999999999999999
this Saturday,this Saturday,DATE,,,en,6.300000000000001
several days,several days,DATE,,,en,6.300000000000001
the year,the year,DATE,,,en,6.299999999999999
Uruguayan,Uruguayan,NORP,,,en,6.299999999999998
Monday,Monday,DATE,,,en,6.199999999999999
the week,the week,DATE,,,en,5.999999999999999
days,days,DATE,,,en,5.8
Chilean,Chilean,NORP,0.8357954545454546,2.068068181818182,en,5.8
this year,this year,DATE,,,en,5.6
Winter,Winter,DATE,,,en,5.5
the day,the day,DATE,,,en,5.499999999999999
five,five,CARDINAL,,,en,5.499999999999999
