,phrase,label,sentiment,subjectivity,language,count
AEMET,AEMET,ORG,0.1789374068554397,0.6236115250869353,en,30.49999999999999
the National Seismological Center of the University of Chile,the National Seismological Center of the University of Chile,ORG,-0.07048458149779743,0.2389867841409692,en,22.699999999999985
AP,AP,ORG,0.06800140005497148,0.7515544904830616,en,21.00000000000001
the State Meteorological Agency,the State Meteorological Agency,ORG,0.0536632923754136,0.43982775081259934,en,19.799999999999997
Trump,Trump,ORG,0.26302257266542967,0.7439548546691399,en,14.000000000000009
Inumet,Inumet,ORG,0.32412625600698985,0.530329838357361,en,10.900000000000004
IMN,IMN,ORG,0.2448432343234324,0.5404290429042905,en,10.099999999999998
The State Meteorological Agency,The State Meteorological Agency,ORG,0.09224186307519643,0.5681004489337823,en,8.999999999999998
Apple,Apple,ORG,0.21224397493054215,1.114705692317633,en,6.6999999999999975
Almería,Almería,ORG,-0.02106119791666667,0.56640625,en,6.3999999999999995
Amazon,Amazon,ORG,0.1527991782229071,0.5865434001027222,en,5.899999999999999
Netflix,Netflix,ORG,0.5630457113507963,0.8994179078924843,en,5.899999999999999
Sierra,Sierra,ORG,0.04198717948717949,0.5802350427350427,en,5.2
CCAA,CCAA,ORG,0.23469065656565657,0.7608901515151516,en,4.8
Goya,Goya,ORG,0.4329419191919194,0.9770601851851853,en,4.799999999999999
Ceuta,Ceuta,ORG,0.10059523809523813,0.6671626984126985,en,4.799999999999999
NASA,NASA,ORG,0.20378250591016547,0.7617021276595748,en,4.699999999999998
EU,EU,ORG,0.18625315656565658,0.6994949494949496,en,4.3999999999999995
Cádiz,Cádiz,ORG,0.14268292682926836,0.3648373983739839,en,4.099999999999999
State,State,ORG,-0.060071872571872596,0.651709401709402,en,3.899999999999999
the Valencian Community,the Valencian Community,ORG,0.1311936936936937,0.5523648648648649,en,3.6999999999999997
iPhone,iPhone,ORG,0.20561015561015564,0.8316134316134318,en,3.6999999999999993
the Community of Madrid,the Community of Madrid,ORG,0.4188762626262627,0.8279671717171717,en,3.5999999999999996
Sánchez,Sánchez,ORG,0.1492527313955885,0.5722067614924757,en,3.5
l/m2,l/m2,ORG,0.1715686274509804,0.48774509803921573,en,3.3999999999999995
PSOE,PSOE,ORG,0.004901960784313725,1.0343137254901962,en,3.3999999999999995
Autonomous Communities,Autonomous Communities,ORG,0.34848484848484845,0.6818181818181819,en,3.3
NOAA,NOAA,ORG,0.029296874999999993,0.5813802083333335,en,3.1999999999999993
El Niño,El Niño,ORG,-0.03225806451612906,1.1290322580645162,en,3.0999999999999996
Aemet,Aemet,ORG,0.059139784946236555,0.6559139784946237,en,3.0999999999999996
Google,Google,ORG,0.12979099753293302,0.7501908485779456,en,3.0999999999999996
DGT,DGT,ORG,0.07896825396825399,0.04761904761904762,en,2.9999999999999996
Meteored,Meteored,ORG,0.17222222222222222,0.39393939393939403,en,2.9999999999999996
Huesca,Huesca,ORG,-0.27011494252873564,0.4310344827586207,en,2.9
Mercosur,Mercosur,ORG,0.07213879870129872,0.45535714285714285,en,2.8
El País,El País,ORG,-0.02481447124304266,0.9072935992578851,en,2.8
EMILIE MEGNIEN,EMILIE MEGNIEN,ORG,0.046794871794871816,0.33974358974358976,en,2.6
Senate,Senate,ORG,0.21333333333333332,0.3333333333333333,en,2.5
NATO,NATO,ORG,-0.23958333333333331,0.10416666666666667,en,2.4
Boca Juniors,Boca Juniors,ORG,0.3152173913043479,0.3768115942028986,en,2.3
UC,UC,ORG,-0.057971014492753624,0.10144927536231883,en,2.3
Congress,Congress,ORG,0.0,0.0,en,2.3
DANA,DANA,ORG,0.08695652173913045,0.4347826086956522,en,2.3
Arsenal,Arsenal,ORG,0.5427489177489176,0.5183982683982684,en,2.2
Real Madrid,Real Madrid,ORG,0.2626262626262626,0.5,en,2.2
TVE,TVE,ORG,0.0,0.07575757575757576,en,2.2
Tesla,Tesla,ORG,0.2227174340810704,0.5450741178013905,en,2.2
NWS,NWS,ORG,-0.22623966942148757,1.1564738292011019,en,2.2
The National Geographic Institute,The National Geographic Institute,ORG,0.09090909090909091,0.3409090909090909,en,2.2
RM,RM,ORG,0.07954545454545454,0.6079545454545455,en,2.1999999999999997
The Uruguayan Institute of Meteorology,The Uruguayan Institute of Meteorology,ORG,0.17261904761904762,0.45119047619047614,en,2.0
Toyota,Toyota,ORG,0.20290404040404042,0.6342171717171717,en,2.0
Salamanca,Salamanca,ORG,-0.35,0.5,en,2.0
Sun,Sun,ORG,-0.0484375,0.5,en,2.0
Nvidia,Nvidia,ORG,0.07196969696969696,0.25378787878787884,en,2.0
Elon Musk,Elon Musk,ORG,-0.008771929824561415,0.6140350877192982,en,1.9000000000000004
Nacional,Nacional,ORG,0.0,0.0,en,1.9000000000000001
the European Union,the European Union,ORG,0.019587320574162678,0.15849282296650716,en,1.9000000000000001
Waymo,Waymo,ORG,-0.01599643047011468,0.6708152958152958,en,1.9000000000000001
Galicia,Galicia,ORG,0.20575301891091363,0.6934837092731828,en,1.9000000000000001
BCU,BCU,ORG,-0.1739766081871345,0.6505847953216374,en,1.9000000000000001
First Division,First Division,ORG,0.4078947368421052,0.8771929824561402,en,1.9000000000000001
the Supreme Court,the Supreme Court,ORG,-0.06578947368421052,0.2631578947368421,en,1.9000000000000001
PNV,PNV,ORG,-0.014619883040935679,0.34210526315789475,en,1.9000000000000001
League of Legends,League of Legends,ORG,0.2727272727272727,0.33014354066985646,en,1.9000000000000001
Starbucks,Starbucks,ORG,0.22039473684210525,0.4835526315789473,en,1.9000000000000001
AI,AI,ORG,-0.03947368421052631,0.7456140350877192,en,1.9000000000000001
Michelin,Michelin,ORG,0.26754385964912275,0.554093567251462,en,1.9000000000000001
the White House,the White House,ORG,-0.05263157894736842,0.03508771929824561,en,1.9000000000000001
Renault,Renault,ORG,0.38973063973063965,0.7591991341991343,en,1.8
Instagram,Instagram,ORG,0.1871657754010695,1.3101604278074865,en,1.7000000000000002
Ceará,Ceará,ORG,0.11764705882352942,0.05882352941176471,en,1.7
The Storm Circuit,The Storm Circuit,ORG,0.26737967914438504,0.2740641711229947,en,1.7
the Basque Country,the Basque Country,ORG,0.010294117647058825,0.2691176470588235,en,1.7
GPS,GPS,ORG,0.0,0.0,en,1.7
Inamhi,Inamhi,ORG,-0.13725490196078433,0.35294117647058826,en,1.7
the Madrid Sierra,the Madrid Sierra,ORG,0.3088235294117647,0.11274509803921567,en,1.7
SWOT,SWOT,ORG,0.3529411764705883,0.5882352941176471,en,1.7
Kristin,Kristin,ORG,0.0784313725490196,0.0,en,1.7
Illa,Illa,ORG,-0.029411764705882356,0.029411764705882356,en,1.7
Castellón,Castellón,ORG,0.1370586113233172,0.3081232492997199,en,1.7
Associated Press MADRID,Associated Press MADRID,ORG,0.026143790849673193,0.029411764705882356,en,1.7
Parliament,Parliament,ORG,-0.17647058823529413,0.0,en,1.7
ºC,ºC,ORG,0.27450980392156865,0.36274509803921573,en,1.7
Smoke,Smoke,ORG,0.0,0.0,en,1.7
the Milan-Cortina,the Milan-Cortina,ORG,-0.8235294117647057,0.39215686274509803,en,1.7
WhatsApp,WhatsApp,ORG,-0.3323863636363636,0.3125,en,1.6
Ben & Jerry's,Ben & Jerry's,ORG,0.09722222222222222,0.3854166666666666,en,1.6
Government,Government,ORG,0.37152777777777773,0.46875,en,1.6
Magnum,Magnum,ORG,0.09722222222222222,0.3854166666666666,en,1.6
Agency,Agency,ORG,0.03428819444444445,0.44140624999999994,en,1.6
Meteocat,Meteocat,ORG,-0.078125,0.234375,en,1.6
Prime Video,Prime Video,ORG,-0.0625,0.25,en,1.6
Apple Watch,Apple Watch,ORG,0.04791666666666666,0.6489583333333333,en,1.6
Apple TV,Apple TV,ORG,0.0,0.0625,en,1.6
Boca,Boca,ORG,-0.25781249999999994,0.9765625,en,1.6
Cáceres,Cáceres,ORG,-0.37499999999999994,0.0,en,1.6
Raphinha,Raphinha,ORG,-0.05208333333333333,0.0625,en,1.6
The National Meteorological Service,The National Meteorological Service,ORG,-0.075,0.21875,en,1.6
FEMA,FEMA,ORG,0.125,0.25,en,1.6
TikTok,TikTok,ORG,0.37499999999999994,0.3125,en,1.6
Ford,Ford,ORG,0.36875,0.3958333333333333,en,1.6
Barcelona,Barcelona,ORG,0.078125,0.0,en,1.6
La Menorquina,La Menorquina,ORG,0.0,0.0,en,1.6
FBI,FBI,ORG,0.13541666666666666,0.4270833333333333,en,1.6
UBA,UBA,ORG,0.2708333333333333,0.20833333333333331,en,1.6
Ferrari,Ferrari,ORG,-0.13541666666666666,0.5069444444444444,en,1.6
UN,UN,ORG,0.10416666666666667,0.625,en,1.6
Forest,Forest,ORG,-0.20833333333333331,0.20833333333333331,en,1.6
National News,National News,ORG,0.0,0.0,en,1.6
Formula,Formula,ORG,0.44507575757575757,0.6666666666666666,en,1.6
La Moneda,La Moneda,ORG,0.0,0.0625,en,1.6
Córdoba,Córdoba,ORG,0.03125000000000001,0.3923611111111111,en,1.6
AFA,AFA,ORG,0.011363636363636367,0.8295454545454545,en,1.6
El Niño',El Niño',ORG,-0.18750000000000003,0.625,en,1.6
El Niño Godzilla,El Niño Godzilla,ORG,0.10026041666666666,0.90234375,en,1.6
