,phrase,label,sentiment,subjectivity,language,count
Storm Kristin,Storm Kristin,PERSON,0.2366452991452991,0.5181623931623932,en,5.2
Storm Leonardo,Storm Leonardo,PERSON,-0.056608357628765815,0.44460641399416895,en,4.9
Storm Francis,Storm Francis,PERSON,0.12850877192982457,0.5285087719298246,en,3.8
Storm Joseph,Storm Joseph,PERSON,0.07434640522875816,0.30473856209150324,en,3.4000000000000004
JAMIE STENGLE,JAMIE STENGLE,PERSON,0.046794871794871816,0.6442307692307693,en,2.6
Storm Harry,Storm Harry,PERSON,0.26507260101010105,0.6953125,en,2.4
Forbes Mexico,Forbes Mexico,PERSON,0.0,0.0,en,1.9000000000000001
JEFF AMY,JEFF AMY,PERSON,0.2018518518518519,0.49074074074074076,en,1.8
Nicolás Maduro,Nicolás Maduro,PERSON,0.1476114081996435,1.1944563279857396,en,1.7000000000000002
Storm Nils,Storm Nils,PERSON,0.4117647058823529,0.9411764705882354,en,1.7
Jorge Rey,Jorge Rey,PERSON,-0.41176470588235287,0.39215686274509803,en,1.7
José Andrés,José Andrés,PERSON,0.01568627450980392,0.19607843137254904,en,1.7
SETH BORENSTEIN,SETH BORENSTEIN,PERSON,-0.21160130718954248,0.7009803921568628,en,1.7
Pico Tablato,Pico Tablato,PERSON,-0.10980392156862745,0.5392156862745098,en,1.7
Cerro Largo,Cerro Largo,PERSON,0.6875,1.25,en,1.6
Chappell Roan,Chappell Roan,PERSON,-0.0625,0.5,en,1.6
Mario Bidegain,Mario Bidegain,PERSON,0.35555555555555557,1.2444444444444445,en,1.5
Fernando Esteso,Fernando Esteso,PERSON,0.26282051282051283,0.9358974358974359,en,1.3
Casey Wasserman,Casey Wasserman,PERSON,-0.038461538461538464,0.3076923076923077,en,1.3
Storm Goretti,Storm Goretti,PERSON,0.17948717948717946,0.6025641025641024,en,1.3
Ghislaine Maxwell,Ghislaine Maxwell,PERSON,-0.038461538461538464,0.3076923076923077,en,1.3
Pedro Sánchez,Pedro Sánchez,PERSON,-0.15384615384615385,0.6538461538461539,en,1.3
Martín Barreiro,Martín Barreiro,PERSON,0.0,0.10256410256410256,en,1.3
Jaime Bayly,Jaime Bayly,PERSON,-0.11965811965811968,0.22222222222222224,en,1.3
Guillermo Ramis,Guillermo Ramis,PERSON,0.10256410256410256,0.6666666666666666,en,1.3
Sabino Cabeza,Sabino Cabeza,PERSON,0.28076923076923077,0.7692307692307692,en,1.3
Carlos Soria,Carlos Soria,PERSON,0.06666666666666667,0.24871794871794872,en,1.3
Saint John Bosco,Saint John Bosco,PERSON,0.6153846153846154,0.15384615384615385,en,1.3
Hora Veintipico,Hora Veintipico,PERSON,0.0,0.0,en,1.3
Storm Pedro,Storm Pedro,PERSON,0.16666666666666666,0.39743589743589736,en,1.3
Oliver Laxe,Oliver Laxe,PERSON,0.7692307692307692,1.2307692307692308,en,1.3
Atlético de Madrid,Atlético de Madrid,PERSON,0.30982905982905984,0.4914529914529914,en,1.3
Jorge García Dihinx,Jorge García Dihinx,PERSON,0.01282051282051282,0.15384615384615383,en,1.3
Loic Meillard,Loic Meillard,PERSON,0.5160256410256411,0.43589743589743585,en,1.3
Baker McKenzie,Baker McKenzie,PERSON,0.356993006993007,0.6931818181818181,en,1.3
Rodrigo Illesca,Rodrigo Illesca,PERSON,-0.06944444444444445,0.5208333333333334,en,1.2
Andrea Canepa,Andrea Canepa,PERSON,0.0,0.45454545454545453,en,1.1
Luciano Castro,Luciano Castro,PERSON,-0.15,0.19166666666666665,en,1.0
Sebastián Driussi,Sebastián Driussi,PERSON,-0.3,0.4,en,1.0
TRAVIS LOLLER,TRAVIS LOLLER,PERSON,-0.1,0.1,en,1.0
Luis Santamaría,Luis Santamaría,PERSON,0.25,0.5,en,1.0
Pilar Bernabé,Pilar Bernabé,PERSON,0.2,0.30000000000000004,en,1.0
